material,plant,date,customer,qty
1000538,VN11,20171222,1006577,0.006
1000538,VN11,20171222,1004522,0.004
1000538,VN11,20171222,1004824,0.02
1000538,VN11,20171222,1005852,0.014
1000538,VN11,20171222,1004076,0.001
1000538,VN11,20171222,1004662,0.03
1000538,VN11,20171223,1003989,0.002
1000538,VN11,20171225,1004109,0.035
1000538,VN11,20171225,1005852,0.007
1000538,VN11,20171225,1004225,0.001
1000538,VN11,20171225,1004824,0.05
1000538,VN11,20171225,1004304,0.002
1000538,VN11,20171225,1005855,0.005
1000538,VN11,20171225,1003791,0.01
1000538,VN11,20171225,1004249,0.002
1000538,VN11,20171225,1004500,0.01
1000538,VN11,20171226,1004137,0.01
1000538,VN11,20171226,1003653,0.025
1000538,VN11,20171226,1006602,0.001
1000538,VN11,20171226,1004401,0.025
1000538,VN11,20171226,1004969,0.005
1000538,VN11,20171226,1004350,0.005
1000538,VN11,20171226,1004045,0.001
1000538,VN11,20171226,1003832,0.002
1000538,VN11,20171226,1004414,0.002
1000538,VN11,20171226,1004109,0.015
1000538,VN11,20171227,1004051,0.005
1000538,VN11,20171227,1003748,0.01
1000538,VN11,20171227,1004109,0.05
1000538,VN11,20171227,1004968,0.003
1000538,VN11,20171227,1003929,0.008
1000538,VN11,20171227,1003673,0.003
1000538,VN11,20171228,1004969,0.001
1000538,VN11,20171228,1004186,0.002
1000538,VN11,20171229,1003989,0.003
1000538,VN11,20171229,1005852,0.007
1000538,VN11,20171229,1004727,0.004
1000538,VN11,20171229,1005038,0.005
1000538,VN11,20171230,1004712,0.008
1000538,VN11,20180102,1004065,0.001
1000538,VN11,20180102,1004969,0.001
1000538,VN11,20180102,1004958,0.002
1000538,VN11,20180102,1004728,0.002
1000538,VN11,20180102,1004473,0.006
1000538,VN11,20180102,1004479,0.006
1000538,VN11,20180102,1006456,0.002
1000538,VN11,20180102,1004500,0.005
1000538,VN11,20180102,1004371,0.01
1000538,VN11,20180102,1003748,0.02
1000538,VN11,20180103,1004398,0.002
1000538,VN11,20180103,1004304,0.002
1000538,VN11,20180103,1004165,0.004
1000538,VN11,20180103,1004397,0.004
1000538,VN11,20180103,1005852,0.007
1000538,VN11,20180103,1004084,0.003
1000538,VN11,20180103,1004824,0.05
1000538,VN11,20180103,1004249,0.005
1000538,VN11,20180103,1004791,0.05
1000538,VN11,20180103,1003791,0.01
1000538,VN11,20180103,1004500,0.005
1000538,VN11,20180104,1004109,0.04
1000538,VN11,20180104,1003699,0.001
1000538,VN11,20180104,1004952,0.005
1000538,VN11,20180104,1004227,0.005
1000538,VN11,20180104,1005136,0.001
1000538,VN11,20180105,1003989,0.003
1000538,VN11,20180105,1005852,0.01
1000538,VN11,20180105,1003587,0.002
1000538,VN11,20180105,1003929,0.008
1000538,VN11,20180105,1004371,0.01
1000538,VN11,20180106,1004867,0.002
1000538,VN11,20180106,1004499,0.008
1000538,VN11,20180108,1003673,0.003
1000538,VN11,20180108,1004791,0.05
1000538,VN11,20180108,1004953,0.005
1000538,VN11,20180108,1003791,0.002
1000538,VN11,20180108,1004968,0.001
1000538,VN11,20180109,1003989,0.003
1000538,VN11,20180109,1004088,0.02
1000538,VN11,20180109,1004047,0.001
1000538,VN11,20180109,1003748,0.015
1000538,VN11,20180109,1005852,0.01
1000538,VN11,20180109,1004928,0.01
1000538,VN11,20180109,1005845,0.001
1000538,VN11,20180110,1004137,0.001
1000538,VN11,20180111,1004165,0.002
1000538,VN11,20180111,1004109,0.03
1000538,VN11,20180111,1004371,0.01
1000538,VN11,20180112,1003791,0.003
1000538,VN11,20180112,1003989,0.003
1000538,VN11,20180112,1006544,0.001
1000538,VN11,20180112,1004371,0.004
1000538,VN11,20180112,1003929,0.008
1000538,VN11,20180113,1004500,0.005
1000538,VN11,20180113,1003673,0.003
1000538,VN11,20180115,1004377,0.001
1000538,VN11,20180115,1006500,0.006
1000538,VN11,20180115,1004968,0.002
1000538,VN11,20180115,1004953,0.005
1000538,VN11,20180115,1004249,0.002
1000538,VN11,20180115,1004390,0.005
1000538,VN11,20180116,1004397,0.003
1000538,VN11,20180116,1005852,0.01
1000538,VN11,20180116,1003791,0.01
1000538,VN11,20180116,1004007,0.005
1000538,VN11,20180116,1004970,0.005
1000538,VN11,20180116,1004414,0.003
1000538,VN11,20180116,1003587,0.002
1000538,VN11,20180116,1004045,0.002
1000538,VN11,20180116,1004028,0.001
1000538,VN11,20180117,1004499,0.01
1000538,VN11,20180117,1004109,0.04
1000538,VN11,20180117,1003904,0.001
1000538,VN11,20180117,1003699,0.001
1000538,VN11,20180117,1004958,0.002
1000538,VN11,20180117,1004820,0.001
1000538,VN11,20180118,1003791,0.005
1000538,VN11,20180118,1004968,0.003
1000538,VN11,20180118,1004791,0.1
1000538,VN11,20180119,1003989,0.003
1000538,VN11,20180119,1006712,0.002
1000538,VN11,20180119,1004225,0.002
1000538,VN11,20180119,1004084,0.003
1000538,VN11,20180119,1004499,0.01
1000538,VN11,20180119,1004479,0.006
1000538,VN11,20180120,1004227,0.002
1000538,VN11,20180120,1003929,0.008
1000538,VN11,20180120,1006500,0.004
1000538,VN11,20180122,1005855,0.005
1000538,VN11,20180122,1004304,0.002
1000538,VN11,20180122,1004186,0.002
1000538,VN11,20180122,1003748,0.005
1000538,VN11,20180122,1004377,0.002
1000538,VN11,20180122,1005852,0.01
1000538,VN11,20180122,1004109,0.033
1000538,VN11,20180122,1004398,0.001
1000538,VN11,20180122,1004165,0.003
1000538,VN11,20180122,1004969,0.002
1000538,VN11,20180123,1004100,0.002
1000538,VN11,20180123,1003989,0.003
1000538,VN11,20180123,1004928,0.01
1000538,VN11,20180124,1005852,0.014
1000538,VN11,20180124,1006742,0.001
1000538,VN11,20180124,1004371,0.01
1000538,VN11,20180124,1004397,0.003
1000538,VN11,20180124,1003791,0.006
1000538,VN11,20180124,1004137,0.001
1000538,VN11,20180124,1004088,0.02
1000538,VN11,20180124,1004499,0.005
1000538,VN11,20180124,1004953,0.005
1000538,VN11,20180125,1004968,0.004
1000538,VN11,20180125,1003699,0.001
1000538,VN11,20180125,1006544,0.001
1000538,VN11,20180125,1004109,0.06
1000538,VN11,20180126,1004401,0.05
1000538,VN11,20180126,1004109,0.03
1000538,VN11,20180126,1005877,0.016
1000538,VN11,20180126,1003748,0.01
1000538,VN11,20180126,1004500,0.005
1000538,VN11,20180126,1004051,0.01
1000538,VN11,20180127,1004371,0.015
1000538,VN11,20180129,1004137,0.01
1000538,VN11,20180129,1004867,0.001
1000538,VN11,20180129,1004397,0.003
1000538,VN11,20180129,1003929,0.008
1000538,VN11,20180129,1003774,0.002
1000538,VN11,20180129,1003989,0.003
1000538,VN11,20180129,1004952,0.002
1000538,VN11,20180130,1004249,0.002
1000538,VN11,20180130,1003673,0.003
1000538,VN11,20180130,1004205,0.005
1000538,VN11,20180130,1004500,0.005
1000538,VN11,20180130,1004958,0.002
1000538,VN11,20180130,1004018,0.002
1000538,VN11,20180131,1003774,0.003
1000538,VN11,20180131,1005852,0.01
1000538,VN11,20180131,1004473,0.008
1000538,VN11,20180131,1004109,0.01
1000538,VN11,20180201,1005875,0.002
1000538,VN11,20180201,1004928,0.005
1000538,VN11,20180201,1004109,0.03
1000538,VN11,20180201,1003791,0.003
1000538,VN11,20180201,1003989,0.003
1000538,VN11,20180201,1003832,0.002
1000538,VN11,20180201,1003904,0.001
1000538,VN11,20180201,1006719,0.001
1000538,VN11,20180202,1003859,0.001
1000538,VN11,20180202,1003537,0.001
1000538,VN11,20180202,1004968,0.004
1000538,VN11,20180202,1004007,0.005
1000538,VN11,20180203,1004479,0.006
1000538,VN11,20180205,1005852,0.015
1000538,VN11,20180205,1005844,0.005
1000538,VN11,20180205,1004500,0.005
1000538,VN11,20180205,1003929,0.008
1000538,VN11,20180205,1004109,0.025
1000538,VN11,20180205,1003791,0.008
1000538,VN11,20180205,1004728,0.001
1000538,VN11,20180205,1004304,0.004
1000538,VN11,20180205,1004084,0.004
1000538,VN11,20180205,1003673,0.002
1000538,VN11,20180205,1004969,0.003
1000538,VN11,20180206,1004186,0.002
1000538,VN11,20180206,1003859,0.001
1000538,VN11,20180206,1003748,0.025
1000538,VN11,20180206,1004109,0.015
1000538,VN11,20180207,1004371,0.01
1000538,VN11,20180207,1004109,0.036
1000538,VN11,20180207,1004100,0.001
1000538,VN11,20180207,1004008,0.003
1000538,VN11,20180207,1005136,0.001
1000538,VN11,20180208,1004500,0.01
1000538,VN11,20180208,1004030,0.001
1000538,VN11,20180208,1003791,0.01
